Country,Year,City_Scope,Sample_Size,N_Exceeding_Limit,Pct_Exceeding_Limit,Threshold_PPM,Source_Org,Source_Title,Source_URL,Notes
Mexico,2018,"Guadalajara, Puebla",118,,55%,90,IPEN,Lead in Solvent-Based Paints for Home Use in Mexico,https://ipen.org/documents/lead-solvent-based-paints-home-use-mexico-summary,"Source states percentage only, not raw count"
Mexico,2018,"Guadalajara, Puebla",118,,27%,10000,IPEN,Lead in Solvent-Based Paints for Home Use in Mexico,https://ipen.org/documents/lead-solvent-based-paints-home-use-mexico-summary,"Source states percentage only, not raw count"
Peru,2024,Lima,55,16,29%,90,LEEP / MINSA-DIGESA,Paint study and steps toward lead-free paint in Peru,https://leadelimination.org/paint-study-in-peru/,"All 16 lead paints found were solvent-based"
Paraguay,2015,"National (5 brands x 3 colors, n=15)",15,,27%,90,IPEN / University of Cincinnati / Eco-Accord / ALTER VIDA,Total lead concentration in new decorative enamel paints in Lebanon Paraguay and Russia,https://ipen.org/news/total-lead-concentration-new-decorative-enamel-paints-lebanon-paraguay-and-russia,"Very small sample (n=15); source gives percentage only"
Pakistan,2024,National (oil-based paint market share),,,41%,,LEEP,2024 in Review,https://leadelimination.org/2024-in-review/,"Market-share metric (brand sales weighted), not a sample-count survey. Fell from ~88% in 2021."
India,2013,National,250,111,44%,10000,IPEN,National Report -- Lead in India's Enamel Household Paints,https://ipen.org/sites/default/files/documents/National%20Report%20Lead%20in%20India's%20Enamel%20Household%20Paints%20EN%20Dec.%202013.pdf,"Directly stated by source: 111/250 exceeded 10,000 ppm"
India,2013,National,250,224,90%,90,IPEN,National Report -- Lead in India's Enamel Household Paints,https://ipen.org/sites/default/files/documents/National%20Report%20Lead%20in%20India's%20Enamel%20Household%20Paints%20EN%20Dec.%202013.pdf,"DERIVED, not directly stated: source says 26/250 were below 90 ppm, so 250-26=224 (90%) were at or above 90 ppm"
Bangladesh,,National,63,20,32%,90,IPEN,Lead in Solvent-Based Paints for Home Use in Bangladesh,https://ipen.org/documents/lead-solvent-based-paints-home-use-bangladesh,"Directly stated by source"
Philippines,,National (industrial paints),68,21,31%,90,IPEN,Lead in Decorative and Industrial Paints Sold in the Philippines,https://ipen.org/sites/default/files/documents/philippines_ecowaste_compliance_monitoring_paint_report_october_2023-2.pdf,"Source phrasing ('21 bright-colored paints were found to be lead paints') is slightly ambiguous about denominator -- verify against full report before citing"
Philippines,,National (spray paints),87,37,43%,90,IPEN,New Study of Spray Paints in the Philippines Finds High Levels of Lead,https://ipen.org/news/new-study-spray-paints-philippines-finds-high-levels-lead,"29 of the 37 (33% of total) exceeded 10,000 ppm"
Cameroon,2015,National (local-brand anticorrosive paints),9,2,22%,90,IPEN,Cameroon Lead Paint Data,https://ipen.org/sites/default/files/documents/cameroon_2015_lead_paint_data_en.pdf,"Source states 7/9 (78%) MEET the standard; 22% derived as the complement"
Cameroon,2015,National (imported anticorrosive paints),3,1,34%,90,IPEN,Cameroon Lead Paint Data,https://ipen.org/sites/default/files/documents/cameroon_2015_lead_paint_data_en.pdf,"Source states 2/3 (66%) MEET the standard; 34% derived as the complement. n=3, very small sample"
